Name,Age,Gender,Country,State,City,Parent Occupation,Earning Class,Level of Student,Level of Course,Course Name,Assessment Score,Study Time Per Day,Material Name,Material Level,IQ of Student
Student_1,10,Male,Australia,Ontario,Mumbai,Other,Low,4,5,Math,62,2.2534916927790185,PDF,3,137
Student_2,15,Male,Canada,Ontario,Los Angeles,Doctor,High,11,11,English,58,0.806714456206129,Video,2,106
Student_3,15,Female,UK,California,Houston,Engineer,High,8,2,History,1,3.8935469223273613,Book,2,95
Student_4,18,Female,India,New York,Toronto,Engineer,Low,1,2,English,67,1.3146599864597148,Online Course,2,137
Student_5,16,Male,USA,Maharashtra,Toronto,Engineer,High,6,2,English,61,1.261513520979988,Video,3,107
Student_6,17,Female,Australia,Ontario,Toronto,Business,High,8,2,English,20,4.072933703981361,Book,5,116
Student_7,6,Male,Australia,Maharashtra,Mumbai,Engineer,High,3,8,English,63,3.872066208477375,Interactive Session,4,115
Student_8,8,Female,USA,New York,Mumbai,Engineer,Low,4,5,History,19,4.904562552176506,PDF,3,95
Student_9,17,Female,Australia,New York,Toronto,Engineer,Low,2,12,Science,50,2.9710380722477403,Online Course,4,129
Student_10,16,Female,Australia,Texas,Toronto,Doctor,Middle,9,6,History,82,2.469664383931344,Book,1,140
Student_11,13,Female,USA,Ontario,Mumbai,Other,Middle,6,10,Math,91,2.9670940854099004,Online Course,1,90
Student_12,16,Male,UK,Ontario,Mumbai,Doctor,Low,12,1,History,79,3.3831831151051586,Video,1,80
Student_13,16,Female,USA,Texas,Toronto,Business,Low,10,8,Science,24,2.5783645794570065,Video,4,133
Student_14,16,Female,USA,Texas,Toronto,Engineer,Low,11,10,History,95,4.152477861435607,Video,1,103
Student_15,13,Male,UK,New York,Los Angeles,Doctor,Low,8,2,History,17,2.6516149819642467,Interactive Session,1,129
Student_16,15,Male,UK,Maharashtra,Houston,Other,High,11,9,Science,24,1.845710120412423,Interactive Session,2,98
Student_17,14,Male,Australia,Maharashtra,Los Angeles,Doctor,Middle,3,8,Math,73,1.0564422702505754,Interactive Session,2,137
Student_18,7,Female,India,Maharashtra,New York City,Business,Low,12,10,History,8,1.07387912475322,Book,5,114
Student_19,14,Male,Canada,Texas,Los Angeles,Doctor,High,3,5,English,14,2.2206002777283995,Book,1,128
